Publishing Journal,OAID,ISSN,Citing or Referenced Journal,Thirties,Forties,Fifties,Sixties,Seventies,Eighties,Nineties,Aughts,Teens,Twenties
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Marketing,0,10,2,8,123,680,786,1406,1212,237
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Marketing Research,0,0,0,94,494,296,405,266,581,75
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Consumer Research,0,0,0,0,122,183,72,128,296,74
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Marketing Science,0,0,0,0,0,71,140,280,174,27
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Consumer Psychology,0,0,0,0,0,0,99,65,188,50
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of the Academy of Marketing Science,0,0,0,0,312,239,351,520,838,150
Journal of Marketing,https://openalex.org/S142990027,1547-7185,International Journal of Research in Marketing,0,0,0,0,0,147,262,265,598,118
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Psychology and Marketing,0,0,0,0,0,104,99,112,279,103
Journal of Marketing,https://openalex.org/S142990027,1547-7185,European Journal of Marketing,0,0,0,5,165,130,349,281,459,71
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Retailing,0,0,0,0,0,1,262,255,366,54
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Industrial Marketing Management,0,0,0,0,235,179,352,791,971,109
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of Marketing,0,0,0,0,126,426,431,680,807,89
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of Marketing Research,0,0,0,260,1320,895,695,732,1181,164
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of Consumer Research,0,0,0,0,334,285,185,377,656,56
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Marketing Science,0,0,0,0,0,223,366,572,583,69
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of Consumer Psychology,0,0,0,0,0,0,168,192,328,51
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of the Academy of Marketing Science,0,0,0,0,175,318,269,237,550,63
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,International Journal of Research in Marketing,0,0,0,0,0,265,348,262,630,45
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Psychology and Marketing,0,0,0,0,0,104,109,107,270,57
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,European Journal of Marketing,0,0,0,8,88,64,140,149,262,22
